timetweet,isitweet,favcount,retwcount,id,name
2022-05-30 09:44:57,"b'RT @ChusnulCh__: Atap Tribun Penonton Formula E Roboh, Chusnul: Untung yang Punya Acara Anies, Coba Jokowi Atau Ahok Pasti Kadrun Sudah Ter\xe2\x80\xa6'",0,82,1531210044347277312,Mo_Mo_PaiMo
2022-05-30 09:44:56,"b'RT @firzahusainInc: Wah ngeri nih klu pas balap Formula E terjadi banjir rob, mobil2 listriknya bisa nyetrum \xf0\x9f\x98\xb1\xf0\x9f\x98\xb1\xf0\x9f\xa4\xad https://t.co/T8K9G8w3U7'",0,78,1531210040798892032,LaingenLisa
2022-05-30 09:44:55,"b'RT @alisyarief: Kita ingat semua ya, siapa @sandiuno , menjadi politikus dan dikenal umum karena bersama @aniesbaswedan saat Pilgub DKI dul\xe2\x80\xa6'",0,928,1531210036328144896,geekkboyy
2022-05-30 09:44:50,"b'RT @alisyarief: Kita ingat semua ya, siapa @sandiuno , menjadi politikus dan dikenal umum karena bersama @aniesbaswedan saat Pilgub DKI dul\xe2\x80\xa6'",0,928,1531210012814479361,toms_cools
2022-05-30 09:44:47,b'Jika pagelaran Formula E gagal itu akan menjadi track record buruk dalam karir politik pak Anies. Dan akan akan menyandang label gubernur gagal. \n\nGembong Warsono',2,1,1531210001251192832,Ayunin___
2022-05-30 09:44:47,b'Sebenarnya jika pagelarangan bomil listrik ini bisa menjadi harapan pak Gub Anies menutup masa jabatan sebagai Gubernur DKI Jakarta di tahun ini. Namun jika Formula E ini gagal harapan itu akan menjadi bumerang sendiri baginya. \n\nGembong Warsono',0,0,1531209999430881280,Ayunin___
2022-05-30 09:44:46,"b'RT @Gandawan: Kemenparekraf dan Kementerian BUMN, kalian dimana? Sedang berbuat apa?\nFormula E itu manfaatnya untuk rakyat dan bangsa Indon\xe2\x80\xa6'",0,363,1531209997157167105,sunardie090
2022-05-30 09:44:33,b'RT @formulatwtindo: 5 Hari Menuju Jakarta ePrix dan kami akan bikin thread buat temen-temen yang mungkin ga ngerti apa itu balapan Formula\xe2\x80\xa6',0,3,1531209943067439104,PODIUMBYPLUS62
2022-05-30 09:44:29,"b'RT @yusuf_dumdum: Ayooo habiskan anggaran mumpung masih menjabat. \xf0\x9f\x98\x82\n\nPemprov DKI Wajib Bayar Asuransi Formula E pada FEO, Tamu FEO, Hingga\xe2\x80\xa6'",0,31,1531209927116877824,Ogutz27
2022-05-30 09:44:24,"b'RT @Gandawan: Kemenparekraf dan Kementerian BUMN, kalian dimana? Sedang berbuat apa?\nFormula E itu manfaatnya untuk rakyat dan bangsa Indon\xe2\x80\xa6'",0,363,1531209905406742529,HeruuUtama
2022-05-30 09:44:17,"b'@ChusnulCh__ Chusnul2 ..berkoarlah sesuka hatimu, toh Formula  E Insha Allah tetap akan jalan..dan para pembenci akn tetap kepanasan \xf0\x9f\xa4\xa3'",0,0,1531209875228790784,Rega84409356
2022-05-30 09:44:13,b'RT @bachrum_achmadi: Saat gelaran MotoGP mandalika Menpar Sandi Uno ikut promosikan. Tp menjelang Formula E digelar s/d hr ini spertinya bl\xe2\x80\xa6',0,729,1531209860645257216,KanjengRomoBram
2022-05-30 09:44:08,"b'RT @MNW_MNW_MNW: Gagasan besar dibangun supercepat hanya 3 bulan, bisa jadi tuh. Namanya Sirkuit Formula E. Gagasan besar dibangun selama 5\xe2\x80\xa6'",0,179,1531209839556575233,NNeo78
2022-05-30 09:44:08,"b'RT @ChrisJ_2211: Kisah nyata.!\n\nTeman mau ajak anaknya umur 8 tahun nonton formula E\nPas mau beli tiket yg harganya 250.000,dia baru tahu t\xe2\x80\xa6'",0,94,1531209837786238976,bikingemeys
2022-05-30 09:44:06,"b'Semoga dari Thread kami ini, Kalian yang awam tentang motorsports atau Formula E bisa mengikuti ajang balap Jakarta ePrix 2022 ya. See you at Ancol everyone! \xf0\x9f\x91\x8b\xf0\x9f\x8f\xbb'",0,0,1531209828106145792,formulatwtindo
2022-05-30 09:44:05,"b'Kapan dan Berapa Lama Sesi Formula E?\n\nBeda dengan motorsport lain, Formula E hanya memiliki sesi seharian, dari Pagi sampai Sore (atau malam, tergantung sirkuit). Sesi meliputi 2 sesi latihan (30 menit), Sesi Kualifikasi (sekitar 1 jam setengah), dan balapan 45 menit + 1 lap'",0,0,1531209825014927361,formulatwtindo
2022-05-30 09:44:04,b'Apa itu Fanboost?\n\nFanboost adalah tenaga tambahan yang dipilih berdasarkan voting yang dilakukan oleh fans Formula E. Fanboost akan ditutup sebelum balapan dan 5 pembalap teratas akan mendapatkan tenaga tambahan selama 5 detik. Ini bisa digunakan untuk menyalip atau defense',0,0,1531209822783565825,formulatwtindo
2022-05-30 09:44:03,"b'Berapa sih tenaga mobil Formula E?\n\nDi Generasi kedua (Sekarang), Formula E mempunyai tenaga maksimal 250 kilowatt sedangkan untuk Race Modenya di 220 kilowatt. 250 kilowatt setara dengan 335 tenaga kuda. Dengan mobil yang dibawah 1 ton, ini sangat cepat'",0,0,1531209818014613505,formulatwtindo
2022-05-30 09:44:03,b'Ada berapa tim yang mengikuti Formula E?\n\nAda 11 tim yang mengikuti ajang balap Formula E sampai saat ini. Dengan 2 pembalap setiap timnya maka akan ada 22 pembalap yang akan turun',0,0,1531209814952779776,formulatwtindo
2022-05-30 09:44:02,b'Apa sih Formula E?\n\nFormula E secara simple adalah balapan single-seater atau 1 tempat duduk yang di tenagai motor listrik. Formula E dimulai tahun 2014 dan didirikan oleh Alejandro Agag.',0,0,1531209812746575872,formulatwtindo
2022-05-30 09:44:02,"b'5 Hari Menuju Jakarta ePrix dan kami akan bikin thread buat temen-temen yang mungkin ga ngerti apa itu balapan Formula E!\n\nWe Present, Thread to Formula E Beginners!'",3,3,1531209810641039361,formulatwtindo
2022-05-30 09:44:00,"b'RT @musksigit: PLN promosiin penggunaan mobil listrik,motor listrik, kompor listrik dll, tapi kok gak sponsorin formula E?'",0,500,1531209803443253249,aliflapasere
2022-05-30 09:43:59,"b'RT @marlina_idha: Formula E , Pak Anies dan Indonesia \xf0\x9f\xa4\xad\xf0\x9f\x98\x8a https://t.co/AK0f5RxumW'",0,195,1531209801488691200,SylaArdana
2022-05-30 09:43:59,"b'RT @saidi_sudarsono: Kalau memang benar Kementerian Pariwisata dan Ekonomi Kreatif tidak memberikan dukungan Formula E, sebaiknya Pak Sandi\xe2\x80\xa6'",0,107,1531209799861358594,Bekicauw
2022-05-30 09:43:57,"b'RT @geloraco: Tidak Sama dengan MotoGP Mandalika, Panitia Formula E Enggan Gunakan Pawang Hujan\nhttps://t.co/98g7KdnRyv'",0,64,1531209791749574661,Firman_Lature
2022-05-30 09:43:53,"b'RT @HeriSuwondo2: Dulu Keras Mengkritisi, Kini PDIP Ajak Masyarakat Dukung &amp; Sukseskan Formula E. Ini bagian dari strategi para politikus b\xe2\x80\xa6'",0,114,1531209774175760384,muhammad_mursid
2022-05-30 09:43:52,b'RT @CNNIndonesia: Formula E Jakarta Pastikan Tak Pakai Jasa Pawang Hujan https://t.co/YNbc2OATLE',0,65,1531209770031386624,Bung_Kiang
2022-05-30 09:43:42,b'RT @bedarmanto: Mencurigakan. Kalau gak cagaknya dikorupsi mungkin juga itu pake tenda rentalan. Masak kalah sama tenda pecel lele? \n\nhttps\xe2\x80\xa6',0,8,1531209729858342912,arikunto46
2022-05-30 09:43:37,"b'RT @dapitdong: Formula E ini lucu, awal rencana di Monas, ternyata ditolak dgn berbagai alasan. Lagi2 yg nolak itu Buzzer2 dan didengar pen\xe2\x80\xa6'",0,235,1531209706320297984,muhammad_mursid
2022-05-30 09:43:33,b'RT @arieffad: @GeiszChalifah Sandiaga Uno getol banget sama Mandalika ... Formula E kok diam\xc2\xb2 aja ... padahal ini berhubungan dengan Pariwi\xe2\x80\xa6',0,28,1531209692701085696,pitjedwijana
2022-05-30 09:43:33,b'Sapa Gubernur @aniesbaswedan dan memberikan arahan kepada para pelaku UMKM untuk andil dalam kegiatan Ajang Formula E Ancol @DKIJakarta https://t.co/N0nnj0Xn5Q',3,1,1531209690951999488,patriot016610
